"date","state","city","address","num_killed","num_injured","lat","long","num_casualties"
"September 2, 2018","Alabama","Birmingham","500 23rd St S",0,7,33.5185892,-86.8103567,7
"September 2, 2018","New Jersey","Paterson","43 12th Ave",2,2,40.9167654,-74.171811,4
"September 2, 2018","California","San Bernardino","1277 East Lynwood Drive",0,8,34.1083449,-117.2897652,8
"September 2, 2018","New Jersey","Trenton","Stuyvesant Ave and Bryn Mawr Ave",0,4,40.2205824,-74.759717,4
"September 1, 2018","Ohio","Cleveland","3232 Lakeside Ave East",1,7,41.49932,-81.6943605,8
"September 1, 2018","Florida","Fort Lauderdale (Lauderhill)","5225 NW 24th Ct",1,3,26.1403635,-80.2133808,4
"August 31, 2018","Colorado","Aurora","1900 block of Peoria St",2,3,39.7294319,-104.8319195,5
"August 27, 2018","Arkansas","Pine Bluff","2600 block of W 34th Ave",1,3,34.2284312,-92.0031955,4
"August 26, 2018","Florida","Jacksonville","2 Independent Dr",3,9,30.3321838,-81.655651,12
"August 26, 2018","Texas","Wichita Falls","2400 block of Sheppard Access Rd",1,3,33.9137085,-98.4933873,4
"August 25, 2018","Virginia","Richmond","4 N 18th St",0,5,37.5407246,-77.4360481,5
"August 25, 2018","Tennessee","Nashville","1564 9th Ave N",1,4,36.1626638,-86.7816016,5
"August 23, 2018","Pennsylvania","Philadelphia","5800 block of Oakland St",0,4,39.9525839,-75.1652215,4
"August 23, 2018","Maryland","Baltimore","1700 block of Homestead St",0,4,39.2903848,-76.6121893,4
"August 22, 2018","Missouri","Saint Louis","I-64 and Jefferson Ave",0,4,38.6270025,-90.1994042,4
"August 21, 2018","Tennessee","Memphis","2119 E Alcy Rd",0,4,35.1495343,-90.0489801,4
"August 20, 2018","Tennessee","Jackson","60 Heritage Square",1,4,35.6145169,-88.8139469,5
"August 20, 2018","Ohio","Cleveland","E 94th St and Kinsman Rd",1,3,41.49932,-81.6943605,4
"August 19, 2018","Illinois","Chicago","7400 block of S Dante Ave",0,5,41.8781136,-87.6297982,5
"August 18, 2018","New York","Bronx","925 Allerton Ave",0,4,40.8447819,-73.8648268,4
"August 17, 2018","Illinois","Chicago","1600 block of W 65th St",0,7,41.8781136,-87.6297982,7
"August 15, 2018","South Carolina","Greenwood","Mimosa Ct",0,5,34.1954001,-82.1617883,5
"August 14, 2018","Pennsylvania","Wyncote","1000 S Easton Rd",0,5,40.0945549,-75.1487863,5
"August 12, 2018","California","Clearlake","4786 Yarrington Ct",4,1,38.9582307,-122.6263728,5
"August 12, 2018","Pennsylvania","Pittsburgh (East Liberty)","5600 block of Broad St",0,4,40.4643479,-79.926266,4
"August 11, 2018","Ohio","Columbus","1280 Summit St",0,4,39.9611755,-82.9987942,4
"August 11, 2018","California","San Francisco","Geneva St and Mission St",1,4,37.7749295,-122.4194155,5
"August 11, 2018","Colorado","Thornton","4050 E 100th Ave",1,3,39.8680412,-104.9719243,4
"August 10, 2018","Missouri","Saint Louis","1515 N 13th St",0,4,38.6270025,-90.1994042,4
"August 10, 2018","Michigan","Detroit","6300 block of Vinewood St",0,4,42.331427,-83.0457538,4
"August 8, 2018","New Jersey","Paterson","Mercer St and Franklin St",0,4,40.9167654,-74.171811,4
"August 8, 2018","Pennsylvania","Philadelphia","North 12th Street and West Huntingdon Street",2,4,39.9525839,-75.1652215,6
"August 5, 2018","Illinois","Chicago","1 block of N Leclaire Ave",1,4,41.8781136,-87.6297982,5
